1  96.45
2  105.00
3  105.04
4  90.64
5  85.64
6  79.83
7  73.63
8  69.58
9  66.38
10  63.78
11  61.18
12  58.21
13  56.77
14  54.01
15  51.62
16  49.37
17  48.37
18  47.17
19  45.82
20  44.78
21  42.97
22  41.98
23  41.19
24  40.36
25  39.76
26  38.76
27  37.77
28  37.37
29  36.81
30  35.77
31  35.57
32  34.81
33  34.37
34  33.79
35  32.77
36  32.77
37  32.37
38  31.78
39  31.38
40  31.21
41  30.56
42  30.39
43  30.37
44  29.99
45  29.39
46  29.61
47  28.97
48  28.82
49  28.41
50  27.22
51  27.16
52  26.96
53  27.01
54  26.57
55  26.78
56  26.56
57  26.58
58  26.58
59  26.37
60  26.16
61  25.98
62  25.76
63  25.58
64  25.41
65  25.37
66  25.19
67  24.96
68  24.76
70  23.61
72  24.62
74  24.42
76  23.97
78  23.76
80  23.57
82  23.37
84  23.41
86  23.16
88  23.21
90  22.77
92  22.79
94  22.60
96  22.56
98  22.41
100  22.38
102  22.19
104  22.18
106  22.21
108  21.97
110  21.76
112  21.76
114  21.76
116  21.40
118  21.59
120  21.61
122  21.36
124  21.38
126  21.37
132  20.21
136  20.56
140  21.00
144  20.96
148  20.97
152  20.97
156  21.02
160  20.96
164  20.97
168  20.98
172  21.16
176  21.01
180  20.96
184  20.96
188  21.01
192  20.96
196  20.97
200  20.96
204  21.03
208  21.22
212  21.17
216  21.17
220  21.18
224  21.42
228  21.37
232  21.41
236  21.37
240  21.62
244  21.59
248  21.77
252  21.62
264  20.97
272  21.77
280  22.02
288  22.18
296  22.62
304  22.58
312  22.58
320  23.02
328  23.17
336  23.38
344  23.58
352  23.58
360  24.03
368  24.19
376  24.38
384  24.64
392  24.84
400  25.03
408  25.25
416  25.39
424  26.00
432  26.05
440  26.20
448  26.60
456  26.63
464  26.80
472  27.01
480  27.06
488  27.61
496  27.82
504  28.05
512  28.21
520  28.62
528  29.03
536  29.22
544  29.43
552  29.83
560  30.08
568  30.23
576  30.44
584  30.88
592  31.09
600  31.29
608  31.45
616  31.89
624  32.31
632  32.46
640  32.67
648  33.07
656  33.27
664  33.47
672  33.94
680  34.09
688  34.48
696  34.70
704  34.70
712  35.10
720  35.52
728  35.91
736  36.12
744  36.53
752  36.78
760  37.19
768  37.55
776  37.55
784  37.98
792  38.35
800  38.59
808  38.76
816  39.22
824  39.60
832  39.78
840  40.02
848  40.44
856  41.05
864  41.06
872  41.21
880  41.83
888  42.03
896  42.44
904  42.84
912  43.10
920  43.46
928  43.66
936  43.88
944  44.29
952  44.29
960  44.89
968  45.56
976  45.57
984  46.17
992  46.18
1000  46.80
1008  46.81
1016  47.62
1024  46.77
